start_time,role,duration_ms,operation,resource,is_error
0.002560722,Regular,16,Create,Deployment,false
0.002630664,Regular,29,Create,Deployment,false
0.00219313,Regular,30,Create,Deployment,false
0.032452943,Regular,34,Create,ConfigMap,false
0.002227876,Regular,64,Create,Deployment,false
0.002865236,Regular,50,Create,Deployment,false
0.053860826,Regular,16,Create,ConfigMap,false
0.002253544,Regular,29,Create,Deployment,false
0.032221888,Regular,41,Create,ConfigMap,false
0.074035297,Regular,13,Update,Deployment,false
0.002237874,Regular,52,Create,Deployment,false
0.05438301,Regular,15,Create,ConfigMap,false
0.070363041,Regular,13,Update,Deployment,false
0.083670942,Regular,12,Delete,ConfigMap,false
0.096071573,Regular,8,Delete,Deployment,false
0.104516316,Regular,10,Create,Deployment,false
0.121623711,Regular,7,Create,ConfigMap,false
0.142251455,Regular,10,Update,Deployment,false
0.162203828,Regular,4,Delete,ConfigMap,false
0.182423764,Regular,5,Delete,Deployment,false
0.20229279,Regular,12,Create,Deployment,false
0.222233259,Regular,12,Create,ConfigMap,false
0.243064818,Regular,11,Update,Deployment,false
0.261931706,Regular,4,Delete,ConfigMap,false
0.281488413,Regular,5,Delete,Deployment,false
0.302068157,Regular,7,Create,Deployment,false
0.322752558,Regular,7,Create,ConfigMap,false
0.342535822,Regular,8,Update,Deployment,false
0.362536676,Regular,4,Delete,ConfigMap,false
0.381928934,Regular,5,Delete,Deployment,false
0.402245181,Regular,7,Create,Deployment,false
0.421840271,Regular,6,Create,ConfigMap,false
0.442109911,Regular,9,Update,Deployment,false
0.463113313,Regular,10,Delete,ConfigMap,false
0.481982145,Regular,8,Delete,Deployment,false
0.502731227,Regular,8,Create,Deployment,false
0.522455521,Regular,10,Create,ConfigMap,false
0.54235319,Regular,21,Update,Deployment,false
0.564192596,Regular,8,Delete,ConfigMap,false
0.581993457,Regular,10,Delete,Deployment,false
0.60220097,Regular,12,Create,Deployment,false
0.622598771,Regular,9,Create,ConfigMap,false
0.642614132,Regular,8,Update,Deployment,false
0.662314119,Regular,4,Delete,ConfigMap,false
0.682360769,Regular,5,Delete,Deployment,false
0.702071166,Regular,8,Create,Deployment,false
0.722167459,Regular,10,Create,ConfigMap,false
0.742132286,Regular,8,Update,Deployment,false
0.761664797,Regular,5,Delete,ConfigMap,false
0.782082947,Regular,7,Delete,Deployment,false
0.801970597,Regular,5,Create,Deployment,false
0.821620009,Regular,8,Create,ConfigMap,false
0.842169847,Regular,8,Update,Deployment,false
0.862213261,Regular,5,Delete,ConfigMap,false
0.882231568,Regular,5,Delete,Deployment,false
0.903112709,Regular,10,Create,Deployment,false
0.921675886,Regular,10,Create,ConfigMap,false
0.942505089,Regular,9,Update,Deployment,false
0.961903589,Regular,6,Delete,ConfigMap,false
0.981831204,Regular,6,Delete,Deployment,false
0.06699033,Regular,13,Create,ConfigMap,false
0.080081723,Regular,10,Update,Deployment,false
0.090383512,Regular,13,Delete,ConfigMap,false
0.103806128,Regular,10,Delete,Deployment,false
0.114345565,Regular,6,Create,Deployment,false
0.121652926,Regular,7,Create,ConfigMap,false
0.142261314,Regular,10,Update,Deployment,false
0.162142713,Regular,4,Delete,ConfigMap,false
0.182348242,Regular,5,Delete,Deployment,false
0.202365637,Regular,12,Create,Deployment,false
