start_time,role,duration_ms,operation,resource,is_error
0.003797369,Regular,91,Create,Deployment,false
0.00172371,Regular,78,Create,Deployment,false
0.080352533,Regular,45,Create,ConfigMap,false
0.126336424,Regular,40,Update,Deployment,false
0.167246214,Regular,35,Delete,ConfigMap,false
0.003639611,Regular,90,Create,Deployment,false
0.094559883,Regular,45,Create,ConfigMap,false
0.139794073,Regular,77,Update,Deployment,false
0.003797832,Regular,102,Create,Deployment,false
0.106343482,Regular,33,Create,ConfigMap,false
0.13937551,Regular,92,Update,Deployment,false
0.231531915,Regular,35,Delete,ConfigMap,false
0.266937978,Regular,36,Delete,Deployment,false
0.30305544,Regular,37,Create,Deployment,false
0.340296458,Regular,34,Create,ConfigMap,false
0.375189459,Regular,45,Update,Deployment,false
0.420990253,Regular,24,Delete,ConfigMap,false
0.44563023,Regular,27,Delete,Deployment,false
0.472910708,Regular,28,Create,Deployment,false
0.501831962,Regular,28,Create,ConfigMap,false
0.530586334,Regular,43,Update,Deployment,false
0.574135164,Regular,13,Delete,ConfigMap,false
0.587726191,Regular,20,Delete,Deployment,false
0.608520485,Regular,16,Create,Deployment,false
0.625477835,Regular,21,Create,ConfigMap,false
0.647190567,Regular,30,Update,Deployment,false
0.677337365,Regular,18,Delete,ConfigMap,false
0.69621992,Regular,8,Delete,Deployment,false
0.704788004,Regular,21,Create,Deployment,false
0.726080575,Regular,29,Create,ConfigMap,false
0.755595776,Regular,29,Update,Deployment,false
0.785445022,Regular,32,Delete,ConfigMap,false
0.817951285,Regular,25,Delete,Deployment,false
0.843766574,Regular,33,Create,Deployment,false
0.87772172,Regular,37,Create,ConfigMap,false
0.915224944,Regular,21,Update,Deployment,false
0.936325658,Regular,27,Delete,ConfigMap,false
0.964036668,Regular,23,Delete,Deployment,false
0.988021035,Regular,37,Create,Deployment,false
0.003382496,Regular,72,Create,Deployment,false
0.075775599,Regular,45,Create,ConfigMap,false
0.121442506,Regular,36,Update,Deployment,false
0.158371876,Regular,42,Delete,ConfigMap,false
0.201197726,Regular,36,Delete,Deployment,false
0.237838364,Regular,41,Create,Deployment,false
0.27977736,Regular,41,Create,ConfigMap,false
0.321110387,Regular,35,Update,Deployment,false
0.356283123,Regular,29,Delete,ConfigMap,false
0.385347003,Regular,30,Delete,Deployment,false
0.416140692,Regular,22,Create,Deployment,false
0.438855403,Regular,25,Create,ConfigMap,false
0.464656609,Regular,22,Update,Deployment,false
0.487617403,Regular,13,Delete,ConfigMap,false
0.501111202,Regular,20,Delete,Deployment,false
0.521989221,Regular,37,Create,Deployment,false
0.559252683,Regular,20,Create,ConfigMap,false
0.579998147,Regular,21,Update,Deployment,false
0.601889658,Regular,18,Delete,ConfigMap,false
0.620810444,Regular,15,Delete,Deployment,false
0.636296111,Regular,19,Create,Deployment,false
0.655925097,Regular,33,Create,ConfigMap,false
0.689625937,Regular,21,Update,Deployment,false
0.71091163,Regular,23,Delete,ConfigMap,false
0.734554213,Regular,17,Delete,Deployment,false
0.752500896,Regular,35,Create,Deployment,false
0.787587279,Regular,31,Create,ConfigMap,false
0.818689517,Regular,40,Update,Deployment,false
0.859545301,Regular,25,Delete,ConfigMap,false
0.884801444,Regular,24,Delete,Deployment,false
0.909563924,Regular,24,Create,Deployment,false
0.93435903,Regular,27,Create,ConfigMap,false
0.961543108,Regular,41,Update,Deployment,false
1.002611289,Regular,22,Delete,ConfigMap,false
0.203295037,Regular,59,Delete,Deployment,false
0.262987736,Regular,41,Create,Deployment,false
0.304130508,Regular,32,Create,ConfigMap,false
0.337021233,Regular,40,Update,Deployment,false
0.377720136,Regular,37,Delete,ConfigMap,false
0.415593341,Regular,24,Delete,Deployment,false
0.440464106,Regular,32,Create,Deployment,false
0.473060885,Regular,39,Create,ConfigMap,false
0.513075241,Regular,33,Update,Deployment,false
0.546410521,Regular,26,Delete,ConfigMap,false
0.572547902,Regular,9,Delete,Deployment,false
0.582136451,Regular,17,Create,Deployment,false
0.599999742,Regular,37,Create,ConfigMap,false
0.63713572,Regular,39,Update,Deployment,false
0.676429912,Regular,18,Delete,ConfigMap,false
0.695324815,Regular,15,Delete,Deployment,false
0.710968119,Regular,27,Create,Deployment,false
0.738704625,Regular,34,Create,ConfigMap,false
0.773164015,Regular,46,Update,Deployment,false
0.819214317,Regular,15,Delete,ConfigMap,false
0.834277271,Regular,25,Delete,Deployment,false
0.859656378,Regular,28,Create,Deployment,false
0.887749873,Regular,27,Create,ConfigMap,false
0.915137631,Regular,29,Update,Deployment,false
0.9446846,Regular,28,Delete,ConfigMap,false
0.973018074,Regular,28,Delete,Deployment,false
1.001829678,Regular,25,Create,Deployment,false
0.003756705,Regular,91,Create,Deployment,false
0.094917539,Regular,44,Create,ConfigMap,false
0.139613884,Regular,90,Update,Deployment,false
0.230010315,Regular,27,Delete,ConfigMap,false
0.257880473,Regular,36,Delete,Deployment,false
0.293998807,Regular,46,Create,Deployment,false
0.340471976,Regular,26,Create,ConfigMap,false
0.367284639,Regular,35,Update,Deployment,false
0.403091774,Regular,35,Delete,ConfigMap,false
0.438344423,Regular,22,Delete,Deployment,false
0.460631866,Regular,19,Create,Deployment,false
0.480225688,Regular,33,Create,ConfigMap,false
0.513310547,Regular,44,Update,Deployment,false
0.558122332,Regular,21,Delete,ConfigMap,false
0.579582444,Regular,19,Delete,Deployment,false
0.599144781,Regular,22,Create,Deployment,false
0.621506395,Regular,18,Create,ConfigMap,false
0.640531763,Regular,25,Update,Deployment,false
0.666536692,Regular,17,Delete,ConfigMap,false
0.684281708,Regular,17,Delete,Deployment,false
0.701849635,Regular,23,Create,Deployment,false
0.725314338,Regular,33,Create,ConfigMap,false
0.758824927,Regular,34,Update,Deployment,false
0.793811417,Regular,36,Delete,ConfigMap,false
0.830831776,Regular,28,Delete,Deployment,false
0.859771155,Regular,35,Create,Deployment,false
0.895645243,Regular,26,Create,ConfigMap,false
