start_time,role,duration_ms,operation,resource,is_error
0.002475859,Regular,27,Create,Deployment,false
0.002540301,Regular,31,Create,Deployment,false
0.002440071,Regular,32,Create,Deployment,false
0.002471561,Regular,34,Create,Deployment,false
0.002847712,Regular,29,Create,Deployment,false
0.032508025,Regular,13,Create,ConfigMap,false
0.002788279,Regular,25,Create,Deployment,false
0.028635506,Regular,16,Create,ConfigMap,false
0.04551702,Regular,21,Update,Deployment,false
0.067136717,Regular,6,Delete,ConfigMap,false
0.002757161,Regular,31,Create,Deployment,false
0.034153765,Regular,15,Create,ConfigMap,false
0.050021793,Regular,17,Update,Deployment,false
0.067645288,Regular,6,Delete,ConfigMap,false
0.082350269,Regular,7,Delete,Deployment,false
0.102769748,Regular,11,Create,Deployment,false
0.12231251,Regular,9,Create,ConfigMap,false
0.142109293,Regular,14,Update,Deployment,false
0.162650032,Regular,5,Delete,ConfigMap,false
0.181961036,Regular,6,Delete,Deployment,false
0.202910728,Regular,13,Create,Deployment,false
0.222510188,Regular,7,Create,ConfigMap,false
0.24280432,Regular,12,Update,Deployment,false
0.262729555,Regular,5,Delete,ConfigMap,false
0.282342962,Regular,4,Delete,Deployment,false
0.301802377,Regular,7,Create,Deployment,false
0.321905689,Regular,9,Create,ConfigMap,false
0.342045369,Regular,17,Update,Deployment,false
0.362632115,Regular,4,Delete,ConfigMap,false
0.382652971,Regular,6,Delete,Deployment,false
0.402055408,Regular,10,Create,Deployment,false
0.422292173,Regular,11,Create,ConfigMap,false
0.441956745,Regular,12,Update,Deployment,false
0.462597002,Regular,7,Delete,ConfigMap,false
0.482159502,Regular,6,Delete,Deployment,false
0.502836258,Regular,8,Create,Deployment,false
0.522438302,Regular,9,Create,ConfigMap,false
0.541788942,Regular,12,Update,Deployment,false
0.56247246,Regular,7,Delete,ConfigMap,false
0.582550284,Regular,6,Delete,Deployment,false
0.602617107,Regular,9,Create,Deployment,false
0.623019033,Regular,10,Create,ConfigMap,false
0.642439826,Regular,14,Update,Deployment,false
0.662647795,Regular,6,Delete,ConfigMap,false
0.682184356,Regular,5,Delete,Deployment,false
0.702013039,Regular,9,Create,Deployment,false
0.722532588,Regular,10,Create,ConfigMap,false
0.742590374,Regular,13,Update,Deployment,false
0.762343674,Regular,5,Delete,ConfigMap,false
0.78255479,Regular,5,Delete,Deployment,false
0.802075651,Regular,10,Create,Deployment,false
0.822352932,Regular,10,Create,ConfigMap,false
0.842466263,Regular,12,Update,Deployment,false
0.862087023,Regular,6,Delete,ConfigMap,false
0.882548792,Regular,4,Delete,Deployment,false
0.902644149,Regular,8,Create,Deployment,false
0.922066374,Regular,10,Create,ConfigMap,false
0.942663078,Regular,13,Update,Deployment,false
0.962254383,Regular,5,Delete,ConfigMap,false
0.982374747,Regular,5,Delete,Deployment,false
0.002757151,Regular,34,Create,Deployment,false
0.037210141,Regular,12,Create,ConfigMap,false
0.049340195,Regular,14,Update,Deployment,false
0.063972247,Regular,7,Delete,ConfigMap,false
0.082440249,Regular,5,Delete,Deployment,false
0.102832567,Regular,11,Create,Deployment,false
0.122087205,Regular,9,Create,ConfigMap,false
0.142140672,Regular,14,Update,Deployment,false
0.162662686,Regular,5,Delete,ConfigMap,false
0.182086243,Regular,6,Delete,Deployment,false
0.203169346,Regular,13,Create,Deployment,false
0.222652256,Regular,10,Create,ConfigMap,false
0.242743245,Regular,13,Update,Deployment,false
0.262688558,Regular,5,Delete,ConfigMap,false
0.282370945,Regular,5,Delete,Deployment,false
0.302094489,Regular,10,Create,Deployment,false
0.321986251,Regular,9,Create,ConfigMap,false
0.342070156,Regular,17,Update,Deployment,false
0.36251318,Regular,6,Delete,ConfigMap,false
0.382727131,Regular,5,Delete,Deployment,false
0.401879436,Regular,9,Create,Deployment,false
0.422320506,Regular,11,Create,ConfigMap,false
0.442017761,Regular,11,Update,Deployment,false
0.462547719,Regular,7,Delete,ConfigMap,false
0.482108045,Regular,5,Delete,Deployment,false
0.502911019,Regular,9,Create,Deployment,false
0.522583657,Regular,9,Create,ConfigMap,false
0.542005722,Regular,12,Update,Deployment,false
0.562554726,Regular,7,Delete,ConfigMap,false
0.582498787,Regular,6,Delete,Deployment,false
0.602402842,Regular,10,Create,Deployment,false
0.62292224,Regular,8,Create,ConfigMap,false
