start_time,role,duration_ms,operation,resource,is_error
0.002473274,Regular,18,Create,Deployment,false
0.002172846,Regular,19,Create,Deployment,false
0.002275641,Regular,18,Create,Deployment,false
0.021243427,Regular,9,Create,ConfigMap,false
0.041468731,Regular,9,Update,Deployment,false
0.062365834,Regular,11,Delete,ConfigMap,false
0.082643857,Regular,8,Delete,Deployment,false
0.10228697,Regular,15,Create,Deployment,false
0.121583138,Regular,10,Create,ConfigMap,false
0.142148474,Regular,7,Update,Deployment,false
0.161916393,Regular,4,Delete,ConfigMap,false
0.181902515,Regular,5,Delete,Deployment,false
0.202296778,Regular,6,Create,Deployment,false
0.221899324,Regular,7,Create,ConfigMap,false
0.241439653,Regular,12,Update,Deployment,false
0.26194224,Regular,5,Delete,ConfigMap,false
0.282225163,Regular,9,Delete,Deployment,false
0.302081499,Regular,11,Create,Deployment,false
0.322130369,Regular,9,Create,ConfigMap,false
0.342220697,Regular,12,Update,Deployment,false
0.362480646,Regular,12,Delete,ConfigMap,false
0.382470675,Regular,5,Delete,Deployment,false
0.402446467,Regular,11,Create,Deployment,false
0.422022203,Regular,8,Create,ConfigMap,false
0.441859353,Regular,11,Update,Deployment,false
0.461717052,Regular,4,Delete,ConfigMap,false
0.482042314,Regular,4,Delete,Deployment,false
0.502243933,Regular,5,Create,Deployment,false
0.521325625,Regular,5,Create,ConfigMap,false
0.541305224,Regular,8,Update,Deployment,false
0.561312736,Regular,4,Delete,ConfigMap,false
0.582205221,Regular,6,Delete,Deployment,false
0.601366774,Regular,8,Create,Deployment,false
0.621903876,Regular,6,Create,ConfigMap,false
0.641446991,Regular,9,Update,Deployment,false
0.661625967,Regular,4,Delete,ConfigMap,false
0.682098517,Regular,3,Delete,Deployment,false
0.701358967,Regular,6,Create,Deployment,false
0.722226996,Regular,5,Create,ConfigMap,false
0.74163257,Regular,7,Update,Deployment,false
0.761451565,Regular,3,Delete,ConfigMap,false
0.782219735,Regular,4,Delete,Deployment,false
0.801923182,Regular,7,Create,Deployment,false
0.822289131,Regular,8,Create,ConfigMap,false
0.842309648,Regular,7,Update,Deployment,false
0.861578885,Regular,6,Delete,ConfigMap,false
0.881301608,Regular,7,Delete,Deployment,false
0.901588458,Regular,8,Create,Deployment,false
0.92126811,Regular,7,Create,ConfigMap,false
0.94141236,Regular,9,Update,Deployment,false
0.962300497,Regular,4,Delete,ConfigMap,false
0.981748591,Regular,4,Delete,Deployment,false
0.00229634,Regular,18,Create,Deployment,false
0.021352614,Regular,10,Create,ConfigMap,false
0.041514958,Regular,11,Update,Deployment,false
0.062097718,Regular,10,Delete,ConfigMap,false
0.082504794,Regular,8,Delete,Deployment,false
0.102323239,Regular,16,Create,Deployment,false
0.121405993,Regular,11,Create,ConfigMap,false
0.142194411,Regular,7,Update,Deployment,false
0.161979553,Regular,4,Delete,ConfigMap,false
0.181848453,Regular,5,Delete,Deployment,false
0.202266851,Regular,6,Create,Deployment,false
0.221881891,Regular,7,Create,ConfigMap,false
0.241440755,Regular,9,Update,Deployment,false
0.261964793,Regular,5,Delete,ConfigMap,false
0.282780913,Regular,7,Delete,Deployment,false
0.30202933,Regular,7,Create,Deployment,false
