start_time,role,duration_ms,operation,resource,is_error
0.002811197,Regular,39,Create,Deployment,false
0.042587379,Regular,99,Create,ConfigMap,false
0.141662731,Regular,88,Update,Deployment,false
0.230691615,Regular,77,Delete,ConfigMap,false
0.308082381,Regular,100,Delete,Deployment,false
0.408481833,Regular,123,Create,Deployment,false
0.532292333,Regular,81,Create,ConfigMap,false
0.614214963,Regular,117,Update,Deployment,false
0.732159654,Regular,111,Delete,ConfigMap,false
0.843943341,Regular,117,Delete,Deployment,false
0.96125864,Regular,98,Create,Deployment,false
1.059576342,Regular,141,Create,ConfigMap,false
1.201057023,Regular,256,Update,Deployment,false
1.457125313,Regular,62,Delete,ConfigMap,false
1.520110711,Regular,70,Delete,Deployment,false
1.590691698,Regular,57,Create,Deployment,false
1.648149951,Regular,62,Create,ConfigMap,false
1.710973601,Regular,86,Update,Deployment,false
1.797726,Regular,39,Delete,ConfigMap,false
1.83729521,Regular,55,Delete,Deployment,false
1.892996229,Regular,75,Create,Deployment,false
1.9687458420000001,Regular,65,Create,ConfigMap,false
2.034365386,Regular,41,Update,Deployment,false
2.07627001,Regular,53,Delete,ConfigMap,false
2.130242043,Regular,38,Delete,Deployment,false
2.169261776,Regular,43,Create,Deployment,false
2.21232865,Regular,41,Create,ConfigMap,false
2.254272773,Regular,62,Update,Deployment,false
2.3163805330000002,Regular,39,Delete,ConfigMap,false
2.356172292,Regular,37,Delete,Deployment,false
2.393652697,Regular,53,Create,Deployment,false
2.447215143,Regular,89,Create,ConfigMap,false
2.53720172,Regular,81,Update,Deployment,false
2.6190284889999997,Regular,43,Delete,ConfigMap,false
2.66292933,Regular,26,Delete,Deployment,false
2.689114671,Regular,29,Create,Deployment,false
2.718660529,Regular,68,Create,ConfigMap,false
2.787510933,Regular,62,Update,Deployment,false
2.850112469,Regular,74,Delete,ConfigMap,false
2.924658027,Regular,33,Delete,Deployment,false
2.958449641,Regular,40,Create,Deployment,false
2.999146741,Regular,29,Create,ConfigMap,false
3.0287672900000002,Regular,41,Update,Deployment,false
3.070584639,Regular,92,Delete,ConfigMap,false
3.162767337,Regular,101,Delete,Deployment,false
3.264594375,Regular,80,Create,Deployment,false
3.345176187,Regular,51,Create,ConfigMap,false
3.3970602149999998,Regular,79,Update,Deployment,false
3.4765221,Regular,51,Delete,ConfigMap,false
3.528483741,Regular,82,Delete,Deployment,false
3.6110355739999997,Regular,83,Create,Deployment,false
3.694524599,Regular,68,Create,ConfigMap,false
3.762613955,Regular,53,Update,Deployment,false
3.816418999,Regular,30,Delete,ConfigMap,false
3.846458665,Regular,72,Delete,Deployment,false
3.919508326,Regular,85,Create,Deployment,false
4.005622147,Regular,52,Create,ConfigMap,false
4.057935045,Regular,115,Update,Deployment,false
4.173810563,Regular,83,Delete,ConfigMap,false
4.257789268,Regular,74,Delete,Deployment,false
4.332769159,Regular,76,Create,Deployment,false
4.408964115,Regular,82,Create,ConfigMap,false
4.491594516,Regular,62,Update,Deployment,false
4.553636654,Regular,22,Delete,ConfigMap,false
4.576083508,Regular,54,Delete,Deployment,false
4.631048135,Regular,94,Create,Deployment,false
4.725255338,Regular,80,Create,ConfigMap,false
4.805505633,Regular,52,Update,Deployment,false
4.857619648,Regular,48,Delete,ConfigMap,false
4.9063824480000005,Regular,39,Delete,Deployment,false
4.945660938,Regular,69,Create,Deployment,false
5.014882302,Regular,64,Create,ConfigMap,false
5.079230595,Regular,48,Update,Deployment,false
5.128112254,Regular,52,Delete,ConfigMap,false
5.18037285,Regular,52,Delete,Deployment,false
5.23284212,Regular,90,Create,Deployment,false
5.323474202,Regular,69,Create,ConfigMap,false
5.392673205,Regular,107,Update,Deployment,false
5.500698472,Regular,54,Delete,ConfigMap,false
5.554803977,Regular,24,Delete,Deployment,false
5.579610538,Regular,44,Create,Deployment,false
5.624271395,Regular,72,Create,ConfigMap,false
5.69714332,Regular,71,Update,Deployment,false
5.768937128,Regular,55,Delete,ConfigMap,false
5.824489547,Regular,59,Delete,Deployment,false
5.883686648,Regular,103,Create,Deployment,false
5.986832281,Regular,62,Create,ConfigMap,false
6.049046055,Regular,90,Update,Deployment,false
6.139651567,Regular,58,Delete,ConfigMap,false
6.197713341,Regular,53,Delete,Deployment,false
6.251572747,Regular,96,Create,Deployment,false
6.348200104,Regular,58,Create,ConfigMap,false
6.407109038,Regular,43,Update,Deployment,false
6.450904807,Regular,40,Delete,ConfigMap,false
6.491901341,Regular,38,Delete,Deployment,false
6.530067861,Regular,104,Create,Deployment,false
6.634439935,Regular,52,Create,ConfigMap,false
6.6868753739999995,Regular,34,Update,Deployment,false
6.720998359,Regular,25,Delete,ConfigMap,false
6.746326269,Regular,48,Delete,Deployment,false
6.794431917,Regular,54,Create,Deployment,false
6.848719497,Regular,70,Create,ConfigMap,false
6.919359095,Regular,82,Update,Deployment,false
7.001675725,Regular,56,Delete,ConfigMap,false
7.058658946,Regular,56,Delete,Deployment,false
7.115652447,Regular,38,Create,Deployment,false
7.154083562,Regular,70,Create,ConfigMap,false
7.224330672,Regular,66,Update,Deployment,false
7.290426108,Regular,42,Delete,ConfigMap,false
7.332620747,Regular,67,Delete,Deployment,false
7.40006847,Regular,53,Create,Deployment,false
7.453624574,Regular,69,Create,ConfigMap,false
7.522844952,Regular,64,Update,Deployment,false
7.587436591,Regular,70,Delete,ConfigMap,false
7.657852985,Regular,59,Delete,Deployment,false
7.717168913,Regular,72,Create,Deployment,false
7.789296608,Regular,76,Create,ConfigMap,false
7.86581545,Regular,65,Update,Deployment,false
7.931790627,Regular,49,Delete,ConfigMap,false
7.981356873,Regular,70,Delete,Deployment,false
8.051512799,Regular,133,Create,Deployment,false
8.185042024,Regular,76,Create,ConfigMap,false
8.261606258,Regular,72,Update,Deployment,false
8.334544393,Regular,71,Delete,ConfigMap,false
8.406174984,Regular,34,Delete,Deployment,false
8.440670621,Regular,75,Create,Deployment,false
8.515930347,Regular,76,Create,ConfigMap,false
8.592565602,Regular,137,Update,Deployment,false
8.72990359,Regular,52,Delete,ConfigMap,false
8.782357725,Regular,45,Delete,Deployment,false
8.827483645000001,Regular,64,Create,Deployment,false
8.891761149,Regular,47,Create,ConfigMap,false
8.939374725,Regular,73,Update,Deployment,false
9.01342977,Regular,53,Delete,ConfigMap,false
9.067443182,Regular,42,Delete,Deployment,false
9.109461653,Regular,89,Create,Deployment,false
9.198624759,Regular,93,Create,ConfigMap,false
9.291770156,Regular,127,Update,Deployment,false
9.419282645,Regular,65,Delete,ConfigMap,false
9.484790843,Regular,60,Delete,Deployment,false
9.545512219999999,Regular,83,Create,Deployment,false
9.629201905,Regular,52,Create,ConfigMap,false
9.681237754,Regular,59,Update,Deployment,false
9.740915891,Regular,45,Delete,ConfigMap,false
9.786706751,Regular,44,Delete,Deployment,false
9.831422973,Regular,56,Create,Deployment,false
9.888423417,Regular,70,Create,ConfigMap,false
9.959138904,Regular,60,Update,Deployment,false
10.019493774,Regular,60,Delete,ConfigMap,false
10.080316286,Regular,54,Delete,Deployment,false
10.135312806,Regular,54,Create,Deployment,false
10.190277627,Regular,64,Create,ConfigMap,false
10.254566326,Regular,50,Update,Deployment,false
