start_time,role,duration_ms,operation,resource,is_error
0.002806864,Regular,16,Create,Deployment,false
0.022871278,Regular,13,Create,ConfigMap,false
0.043272624,Regular,12,Update,Deployment,false
0.062955878,Regular,15,Delete,ConfigMap,false
0.083185008,Regular,8,Delete,Deployment,false
0.103053276,Regular,16,Create,Deployment,false
0.123097379,Regular,15,Create,ConfigMap,false
0.142499677,Regular,24,Update,Deployment,false
0.166591129,Regular,8,Delete,ConfigMap,false
0.183146171,Regular,13,Delete,Deployment,false
0.202708265,Regular,15,Create,Deployment,false
0.222695597,Regular,13,Create,ConfigMap,false
0.242891463,Regular,19,Update,Deployment,false
0.26249719,Regular,9,Delete,ConfigMap,false
0.282966473,Regular,10,Delete,Deployment,false
0.302552732,Regular,18,Create,Deployment,false
0.3227579,Regular,19,Create,ConfigMap,false
0.342991389,Regular,33,Update,Deployment,false
0.376495603,Regular,9,Delete,ConfigMap,false
0.386393236,Regular,12,Delete,Deployment,false
0.403262378,Regular,16,Create,Deployment,false
0.422390925,Regular,20,Create,ConfigMap,false
0.443383443,Regular,18,Update,Deployment,false
0.463319411,Regular,9,Delete,ConfigMap,false
0.483105489,Regular,8,Delete,Deployment,false
0.502856135,Regular,19,Create,Deployment,false
0.522713711,Regular,19,Create,ConfigMap,false
0.54239891,Regular,28,Update,Deployment,false
0.570546193,Regular,12,Delete,ConfigMap,false
0.583443487,Regular,13,Delete,Deployment,false
0.602843522,Regular,20,Create,Deployment,false
0.623538017,Regular,14,Create,ConfigMap,false
0.642970747,Regular,19,Update,Deployment,false
0.662553623,Regular,12,Delete,ConfigMap,false
0.682739286,Regular,10,Delete,Deployment,false
0.70340702,Regular,27,Create,Deployment,false
0.730990346,Regular,18,Create,ConfigMap,false
0.749847325,Regular,14,Update,Deployment,false
0.764645086,Regular,7,Delete,ConfigMap,false
0.783072551,Regular,7,Delete,Deployment,false
0.80270359,Regular,14,Create,Deployment,false
0.823329881,Regular,14,Create,ConfigMap,false
0.842688435,Regular,17,Update,Deployment,false
0.863316588,Regular,8,Delete,ConfigMap,false
0.883128997,Regular,9,Delete,Deployment,false
0.902854625,Regular,16,Create,Deployment,false
0.92344801,Regular,27,Create,ConfigMap,false
0.950472562,Regular,22,Update,Deployment,false
0.9727395,Regular,8,Delete,ConfigMap,false
0.982543619,Regular,9,Delete,Deployment,false
1.002610975,Regular,15,Create,Deployment,false
1.022355838,Regular,20,Create,ConfigMap,false
1.042850792,Regular,19,Update,Deployment,false
1.062373696,Regular,7,Delete,ConfigMap,false
1.083215207,Regular,8,Delete,Deployment,false
1.103064899,Regular,21,Create,Deployment,false
1.12469413,Regular,15,Create,ConfigMap,false
1.143278671,Regular,20,Update,Deployment,false
1.163875193,Regular,7,Delete,ConfigMap,false
1.183457715,Regular,8,Delete,Deployment,false
1.20321037,Regular,15,Create,Deployment,false
1.223133578,Regular,12,Create,ConfigMap,false
1.243181585,Regular,21,Update,Deployment,false
1.264706347,Regular,9,Delete,ConfigMap,false
1.282943786,Regular,11,Delete,Deployment,false
1.302823318,Regular,18,Create,Deployment,false
1.322971216,Regular,16,Create,ConfigMap,false
1.3424749249999999,Regular,23,Update,Deployment,false
1.365775185,Regular,10,Delete,ConfigMap,false
1.382563287,Regular,9,Delete,Deployment,false
1.402688426,Regular,16,Create,Deployment,false
1.423149193,Regular,14,Create,ConfigMap,false
1.442775216,Regular,21,Update,Deployment,false
1.4642828589999999,Regular,14,Delete,ConfigMap,false
1.483251134,Regular,9,Delete,Deployment,false
1.503121073,Regular,17,Create,Deployment,false
1.522431101,Regular,29,Create,ConfigMap,false
1.5516662970000001,Regular,26,Update,Deployment,false
1.5780459709999999,Regular,13,Delete,ConfigMap,false
1.591857004,Regular,8,Delete,Deployment,false
