start_time,role,duration_ms,operation,resource,is_error
0.001644365,Regular,38,Create,Deployment,false
0.040227923,Regular,12,Create,ConfigMap,false
0.052874231,Regular,17,Update,Deployment,false
0.070052732,Regular,10,Delete,ConfigMap,false
0.081778476,Regular,10,Delete,Deployment,false
0.101490818,Regular,18,Create,Deployment,false
0.121911434,Regular,14,Create,ConfigMap,false
0.141655699,Regular,20,Update,Deployment,false
0.162547404,Regular,12,Delete,ConfigMap,false
0.181758253,Regular,10,Delete,Deployment,false
0.201847275,Regular,16,Create,Deployment,false
0.221260971,Regular,14,Create,ConfigMap,false
0.241753173,Regular,23,Update,Deployment,false
0.264982425,Regular,10,Delete,ConfigMap,false
0.281770817,Regular,10,Delete,Deployment,false
0.302092502,Regular,18,Create,Deployment,false
0.321435525,Regular,15,Create,ConfigMap,false
0.341814768,Regular,17,Update,Deployment,false
0.361386615,Regular,10,Delete,ConfigMap,false
0.382169561,Regular,11,Delete,Deployment,false
0.401817102,Regular,16,Create,Deployment,false
0.421309187,Regular,15,Create,ConfigMap,false
0.441652042,Regular,19,Update,Deployment,false
0.462155421,Regular,9,Delete,ConfigMap,false
0.4815901,Regular,13,Delete,Deployment,false
0.50233945,Regular,17,Create,Deployment,false
0.52223065,Regular,15,Create,ConfigMap,false
0.542093361,Regular,18,Update,Deployment,false
0.561408714,Regular,11,Delete,ConfigMap,false
0.581574906,Regular,11,Delete,Deployment,false
0.602400173,Regular,18,Create,Deployment,false
0.622063695,Regular,16,Create,ConfigMap,false
0.641746054,Regular,18,Update,Deployment,false
0.662187685,Regular,10,Delete,ConfigMap,false
0.681411967,Regular,10,Delete,Deployment,false
0.70195903,Regular,17,Create,Deployment,false
0.721974301,Regular,15,Create,ConfigMap,false
0.742200665,Regular,18,Update,Deployment,false
0.761239426,Regular,9,Delete,ConfigMap,false
0.781697607,Regular,11,Delete,Deployment,false
0.801885266,Regular,17,Create,Deployment,false
0.822196618,Regular,15,Create,ConfigMap,false
0.841596712,Regular,19,Update,Deployment,false
0.861887982,Regular,10,Delete,ConfigMap,false
0.881310864,Regular,11,Delete,Deployment,false
0.902036373,Regular,17,Create,Deployment,false
0.921976449,Regular,16,Create,ConfigMap,false
0.941795717,Regular,17,Update,Deployment,false
0.962216542,Regular,10,Delete,ConfigMap,false
0.981730066,Regular,10,Delete,Deployment,false
1.001616477,Regular,19,Create,Deployment,false
1.022215248,Regular,14,Create,ConfigMap,false
1.04165403,Regular,16,Update,Deployment,false
1.062603738,Regular,9,Delete,ConfigMap,false
1.081454457,Regular,11,Delete,Deployment,false
1.102009411,Regular,16,Create,Deployment,false
1.121445051,Regular,15,Create,ConfigMap,false
1.141513565,Regular,16,Update,Deployment,false
1.162368818,Regular,10,Delete,ConfigMap,false
1.181663106,Regular,11,Delete,Deployment,false
1.201277276,Regular,17,Create,Deployment,false
1.222039799,Regular,15,Create,ConfigMap,false
1.241593735,Regular,20,Update,Deployment,false
1.262152777,Regular,10,Delete,ConfigMap,false
1.2815742079999999,Regular,10,Delete,Deployment,false
1.301469931,Regular,17,Create,Deployment,false
1.321834645,Regular,15,Create,ConfigMap,false
1.342390247,Regular,24,Update,Deployment,false
1.366991343,Regular,10,Delete,ConfigMap,false
1.381709362,Regular,12,Delete,Deployment,false
1.401646828,Regular,16,Create,Deployment,false
1.4214761089999999,Regular,14,Create,ConfigMap,false
1.442060275,Regular,20,Update,Deployment,false
1.462996142,Regular,9,Delete,ConfigMap,false
1.4820936040000001,Regular,10,Delete,Deployment,false
1.50155227,Regular,18,Create,Deployment,false
1.52152675,Regular,14,Create,ConfigMap,false
1.541552942,Regular,16,Update,Deployment,false
1.561770428,Regular,9,Delete,ConfigMap,false
1.581569116,Regular,9,Delete,Deployment,false
1.601982276,Regular,17,Create,Deployment,false
1.621912075,Regular,14,Create,ConfigMap,false
1.641789022,Regular,18,Update,Deployment,false
1.661930162,Regular,9,Delete,ConfigMap,false
1.681459449,Regular,10,Delete,Deployment,false
1.701450152,Regular,17,Create,Deployment,false
1.7223714540000001,Regular,14,Create,ConfigMap,false
1.742312643,Regular,18,Update,Deployment,false
1.762271127,Regular,9,Delete,ConfigMap,false
1.782267515,Regular,10,Delete,Deployment,false
1.801666406,Regular,16,Create,Deployment,false
1.8220698400000002,Regular,14,Create,ConfigMap,false
1.8419045509999998,Regular,18,Update,Deployment,false
1.862243353,Regular,11,Delete,ConfigMap,false
1.881429257,Regular,10,Delete,Deployment,false
1.902344308,Regular,16,Create,Deployment,false
1.921924387,Regular,15,Create,ConfigMap,false
1.942147736,Regular,19,Update,Deployment,false
1.962077815,Regular,9,Delete,ConfigMap,false
1.982155558,Regular,11,Delete,Deployment,false
2.002190177,Regular,16,Create,Deployment,false
2.021501513,Regular,16,Create,ConfigMap,false
2.042061367,Regular,22,Update,Deployment,false
2.064158826,Regular,10,Delete,ConfigMap,false
2.082021532,Regular,10,Delete,Deployment,false
2.102219636,Regular,17,Create,Deployment,false
2.12247813,Regular,18,Create,ConfigMap,false
2.142039213,Regular,18,Update,Deployment,false
2.16148758,Regular,9,Delete,ConfigMap,false
2.181770542,Regular,12,Delete,Deployment,false
2.20180865,Regular,18,Create,Deployment,false
2.222163481,Regular,16,Create,ConfigMap,false
2.242251798,Regular,16,Update,Deployment,false
2.261742634,Regular,9,Delete,ConfigMap,false
2.281751425,Regular,15,Delete,Deployment,false
2.301334692,Regular,16,Create,Deployment,false
2.32236061,Regular,15,Create,ConfigMap,false
2.341527335,Regular,18,Update,Deployment,false
2.36125518,Regular,10,Delete,ConfigMap,false
2.382094135,Regular,11,Delete,Deployment,false
2.402206566,Regular,18,Create,Deployment,false
2.422291043,Regular,15,Create,ConfigMap,false
2.442394122,Regular,21,Update,Deployment,false
2.4642432100000002,Regular,10,Delete,ConfigMap,false
2.4820626519999998,Regular,10,Delete,Deployment,false
2.5020650719999997,Regular,17,Create,Deployment,false
2.521213011,Regular,15,Create,ConfigMap,false
2.541716325,Regular,18,Update,Deployment,false
