start_time,role,duration_ms,operation,resource,is_error
0.002880877,Regular,18,Create,Deployment,false
0.021891943,Regular,9,Create,ConfigMap,false
0.042990045,Regular,16,Update,Deployment,false
0.062399843,Regular,11,Delete,ConfigMap,false
0.082545612,Regular,14,Delete,Deployment,false
0.102360619,Regular,17,Create,Deployment,false
0.122785885,Regular,17,Create,ConfigMap,false
0.142309246,Regular,27,Update,Deployment,false
0.169984852,Regular,7,Delete,ConfigMap,false
0.182665537,Regular,17,Delete,Deployment,false
0.203111765,Regular,15,Create,Deployment,false
0.222905836,Regular,15,Create,ConfigMap,false
0.242549058,Regular,18,Update,Deployment,false
0.262264797,Regular,15,Delete,ConfigMap,false
0.282526211,Regular,19,Delete,Deployment,false
0.30190768,Regular,17,Create,Deployment,false
0.322506943,Regular,11,Create,ConfigMap,false
0.342509965,Regular,14,Update,Deployment,false
0.363054188,Regular,7,Delete,ConfigMap,false
0.38217543,Regular,6,Delete,Deployment,false
0.402753221,Regular,12,Create,Deployment,false
0.422506435,Regular,11,Create,ConfigMap,false
0.442214383,Regular,16,Update,Deployment,false
0.462485045,Regular,7,Delete,ConfigMap,false
0.482503141,Regular,21,Delete,Deployment,false
0.503665598,Regular,16,Create,Deployment,false
0.522190422,Regular,14,Create,ConfigMap,false
0.542906322,Regular,13,Update,Deployment,false
0.562429728,Regular,7,Delete,ConfigMap,false
0.582154026,Regular,9,Delete,Deployment,false
0.602450806,Regular,24,Create,Deployment,false
0.627220614,Regular,22,Create,ConfigMap,false
0.649474766,Regular,28,Update,Deployment,false
0.678383749,Regular,18,Delete,ConfigMap,false
0.696599211,Regular,7,Delete,Deployment,false
0.70422008,Regular,13,Create,Deployment,false
0.722017734,Regular,14,Create,ConfigMap,false
0.742616928,Regular,14,Update,Deployment,false
0.763607836,Regular,10,Delete,ConfigMap,false
0.782813631,Regular,22,Delete,Deployment,false
0.805071562,Regular,14,Create,Deployment,false
0.823524839,Regular,14,Create,ConfigMap,false
0.842887998,Regular,16,Update,Deployment,false
0.862113381,Regular,8,Delete,ConfigMap,false
0.8830553,Regular,8,Delete,Deployment,false
0.902454348,Regular,15,Create,Deployment,false
0.923164773,Regular,15,Create,ConfigMap,false
0.942704501,Regular,14,Update,Deployment,false
0.962007352,Regular,8,Delete,ConfigMap,false
0.982686063,Regular,10,Delete,Deployment,false
1.002782874,Regular,19,Create,Deployment,false
1.022285381,Regular,16,Create,ConfigMap,false
1.042286555,Regular,19,Update,Deployment,false
1.062214489,Regular,9,Delete,ConfigMap,false
1.082909193,Regular,21,Delete,Deployment,false
1.104078116,Regular,20,Create,Deployment,false
1.124663198,Regular,28,Create,ConfigMap,false
1.152943429,Regular,18,Update,Deployment,false
1.171530763,Regular,9,Delete,ConfigMap,false
1.182234831,Regular,8,Delete,Deployment,false
1.202914626,Regular,15,Create,Deployment,false
1.223092877,Regular,15,Create,ConfigMap,false
1.2425920480000001,Regular,15,Update,Deployment,false
1.262084733,Regular,9,Delete,ConfigMap,false
1.282196206,Regular,10,Delete,Deployment,false
1.302340875,Regular,21,Create,Deployment,false
1.324258726,Regular,15,Create,ConfigMap,false
1.342680128,Regular,17,Update,Deployment,false
1.362146044,Regular,12,Delete,ConfigMap,false
1.382170427,Regular,22,Delete,Deployment,false
1.404426811,Regular,21,Create,Deployment,false
1.4259831649999999,Regular,14,Create,ConfigMap,false
1.442605848,Regular,17,Update,Deployment,false
1.46246877,Regular,11,Delete,ConfigMap,false
1.4824567,Regular,9,Delete,Deployment,false
1.502420135,Regular,14,Create,Deployment,false
1.522882611,Regular,12,Create,ConfigMap,false
1.542874576,Regular,18,Update,Deployment,false
1.5619541670000001,Regular,13,Delete,ConfigMap,false
1.582629688,Regular,12,Delete,Deployment,false
1.6025819540000001,Regular,17,Create,Deployment,false
1.6230518680000001,Regular,12,Create,ConfigMap,false
1.643073972,Regular,14,Update,Deployment,false
1.662627521,Regular,8,Delete,ConfigMap,false
1.682685309,Regular,14,Delete,Deployment,false
1.702393233,Regular,22,Create,Deployment,false
1.72501561,Regular,15,Create,ConfigMap,false
1.742928298,Regular,16,Update,Deployment,false
1.762108569,Regular,8,Delete,ConfigMap,false
1.7823549220000001,Regular,9,Delete,Deployment,false
1.802190521,Regular,17,Create,Deployment,false
1.8222065760000001,Regular,15,Create,ConfigMap,false
1.842637794,Regular,13,Update,Deployment,false
1.8622566680000001,Regular,9,Delete,ConfigMap,false
1.882036533,Regular,9,Delete,Deployment,false
1.902766561,Regular,19,Create,Deployment,false
1.9226541799999999,Regular,17,Create,ConfigMap,false
1.942609072,Regular,17,Update,Deployment,false
1.962291103,Regular,10,Delete,ConfigMap,false
1.982726627,Regular,12,Delete,Deployment,false
2.003077443,Regular,22,Create,Deployment,false
2.025982933,Regular,21,Create,ConfigMap,false
2.047350711,Regular,20,Update,Deployment,false
2.067949479,Regular,9,Delete,ConfigMap,false
2.082239621,Regular,10,Delete,Deployment,false
2.102851384,Regular,21,Create,Deployment,false
2.124211871,Regular,15,Create,ConfigMap,false
2.142496662,Regular,21,Update,Deployment,false
2.164442725,Regular,10,Delete,ConfigMap,false
2.182504373,Regular,10,Delete,Deployment,false
2.202534481,Regular,17,Create,Deployment,false
2.222220309,Regular,13,Create,ConfigMap,false
2.242995608,Regular,19,Update,Deployment,false
2.263323342,Regular,9,Delete,ConfigMap,false
2.282365524,Regular,12,Delete,Deployment,false
2.302586728,Regular,24,Create,Deployment,false
2.326958386,Regular,16,Create,ConfigMap,false
2.343752878,Regular,16,Update,Deployment,false
2.362587597,Regular,10,Delete,ConfigMap,false
2.3828022779999998,Regular,11,Delete,Deployment,false
2.40259869,Regular,16,Create,Deployment,false
2.422453153,Regular,18,Create,ConfigMap,false
2.442874727,Regular,18,Update,Deployment,false
2.462220758,Regular,8,Delete,ConfigMap,false
2.4824906,Regular,9,Delete,Deployment,false
2.5024290000000002,Regular,22,Create,Deployment,false
2.524768382,Regular,15,Create,ConfigMap,false
2.542298298,Regular,18,Update,Deployment,false
2.56222966,Regular,9,Delete,ConfigMap,false
2.583081354,Regular,12,Delete,Deployment,false
2.60256857,Regular,27,Create,Deployment,false
2.629831344,Regular,17,Create,ConfigMap,false
2.647552838,Regular,16,Update,Deployment,false
2.664496615,Regular,8,Delete,ConfigMap,false
2.682624061,Regular,10,Delete,Deployment,false
2.702845533,Regular,15,Create,Deployment,false
2.722268483,Regular,12,Create,ConfigMap,false
2.742678565,Regular,19,Update,Deployment,false
2.763060656,Regular,9,Delete,ConfigMap,false
2.782174324,Regular,11,Delete,Deployment,false
2.80220459,Regular,16,Create,Deployment,false
2.822467801,Regular,14,Create,ConfigMap,false
2.8430924600000003,Regular,16,Update,Deployment,false
2.862627951,Regular,8,Delete,ConfigMap,false
2.882809116,Regular,13,Delete,Deployment,false
2.902837135,Regular,20,Create,Deployment,false
2.9237206909999998,Regular,18,Create,ConfigMap,false
2.94225491,Regular,13,Update,Deployment,false
2.962478005,Regular,8,Delete,ConfigMap,false
2.98247021,Regular,10,Delete,Deployment,false
3.002556095,Regular,15,Create,Deployment,false
3.02237476,Regular,16,Create,ConfigMap,false
3.042937721,Regular,19,Update,Deployment,false
3.062798306,Regular,8,Delete,ConfigMap,false
3.082464858,Regular,9,Delete,Deployment,false
3.102213835,Regular,20,Create,Deployment,false
3.122939496,Regular,15,Create,ConfigMap,false
3.142459821,Regular,16,Update,Deployment,false
3.162939816,Regular,11,Delete,ConfigMap,false
3.182801125,Regular,12,Delete,Deployment,false
3.202187551,Regular,24,Create,Deployment,false
3.226288733,Regular,13,Create,ConfigMap,false
3.242898604,Regular,16,Update,Deployment,false
3.262487075,Regular,14,Delete,ConfigMap,false
3.282644299,Regular,11,Delete,Deployment,false
3.302339456,Regular,15,Create,Deployment,false
3.323145595,Regular,13,Create,ConfigMap,false
3.342634886,Regular,17,Update,Deployment,false
3.362821954,Regular,9,Delete,ConfigMap,false
3.382771286,Regular,9,Delete,Deployment,false
3.402950959,Regular,22,Create,Deployment,false
3.425629978,Regular,18,Create,ConfigMap,false
3.444137691,Regular,17,Update,Deployment,false
3.462227614,Regular,9,Delete,ConfigMap,false
3.482576745,Regular,19,Delete,Deployment,false
3.502417979,Regular,19,Create,Deployment,false
3.522852624,Regular,26,Create,ConfigMap,false
3.54930697,Regular,23,Update,Deployment,false
3.57274242,Regular,17,Delete,ConfigMap,false
3.5906824459999998,Regular,8,Delete,Deployment,false
3.602496993,Regular,16,Create,Deployment,false
3.622914517,Regular,13,Create,ConfigMap,false
3.642523083,Regular,18,Update,Deployment,false
3.662726096,Regular,7,Delete,ConfigMap,false
3.683074178,Regular,12,Delete,Deployment,false
3.7022171139999998,Regular,14,Create,Deployment,false
3.723054008,Regular,12,Create,ConfigMap,false
3.742726607,Regular,22,Update,Deployment,false
3.764892581,Regular,8,Delete,ConfigMap,false
3.782370743,Regular,19,Delete,Deployment,false
3.802372248,Regular,18,Create,Deployment,false
3.822310049,Regular,16,Create,ConfigMap,false
3.842476279,Regular,16,Update,Deployment,false
3.862903267,Regular,12,Delete,ConfigMap,false
3.883069163,Regular,10,Delete,Deployment,false
3.902634432,Regular,13,Create,Deployment,false
3.9229106639999998,Regular,11,Create,ConfigMap,false
3.94234091,Regular,12,Update,Deployment,false
3.963085686,Regular,10,Delete,ConfigMap,false
3.982691428,Regular,8,Delete,Deployment,false
4.002451971,Regular,15,Create,Deployment,false
4.022986714,Regular,14,Create,ConfigMap,false
4.042022101,Regular,18,Update,Deployment,false
4.062646106,Regular,8,Delete,ConfigMap,false
4.082599134,Regular,10,Delete,Deployment,false
4.102816016,Regular,21,Create,Deployment,false
4.124397087,Regular,15,Create,ConfigMap,false
4.141942643,Regular,14,Update,Deployment,false
4.162576485,Regular,9,Delete,ConfigMap,false
4.182499513,Regular,10,Delete,Deployment,false
4.202528658,Regular,18,Create,Deployment,false
4.22327637,Regular,14,Create,ConfigMap,false
4.242742857,Regular,16,Update,Deployment,false
4.262517886,Regular,8,Delete,ConfigMap,false
4.282356182,Regular,9,Delete,Deployment,false
4.302818538,Regular,16,Create,Deployment,false
4.322357944,Regular,14,Create,ConfigMap,false
4.342570806,Regular,18,Update,Deployment,false
4.363236262,Regular,10,Delete,ConfigMap,false
4.382455511,Regular,9,Delete,Deployment,false
4.402213193,Regular,25,Create,Deployment,false
4.427989276,Regular,20,Create,ConfigMap,false
4.448871512,Regular,20,Update,Deployment,false
4.469077008,Regular,12,Delete,ConfigMap,false
4.482147061,Regular,10,Delete,Deployment,false
4.502431237,Regular,16,Create,Deployment,false
4.523035695,Regular,16,Create,ConfigMap,false
4.542384084,Regular,19,Update,Deployment,false
4.562031825,Regular,7,Delete,ConfigMap,false
4.582736289,Regular,10,Delete,Deployment,false
4.602664688,Regular,14,Create,Deployment,false
4.623068979,Regular,14,Create,ConfigMap,false
4.642333178,Regular,15,Update,Deployment,false
4.662146303,Regular,7,Delete,ConfigMap,false
4.683128706,Regular,18,Delete,Deployment,false
4.702185828,Regular,14,Create,Deployment,false
4.72245264,Regular,14,Create,ConfigMap,false
4.74284627,Regular,16,Update,Deployment,false
4.76243325,Regular,6,Delete,ConfigMap,false
4.78205642,Regular,7,Delete,Deployment,false
4.802917666,Regular,14,Create,Deployment,false
4.822154721,Regular,13,Create,ConfigMap,false
4.842667401,Regular,18,Update,Deployment,false
4.862948547,Regular,8,Delete,ConfigMap,false
4.882732119,Regular,10,Delete,Deployment,false
4.902358461,Regular,16,Create,Deployment,false
4.922268669,Regular,13,Create,ConfigMap,false
4.94291464,Regular,20,Update,Deployment,false
4.963815605,Regular,8,Delete,ConfigMap,false
4.982151331,Regular,10,Delete,Deployment,false
5.002337039,Regular,19,Create,Deployment,false
5.022005255,Regular,14,Create,ConfigMap,false
5.042469074,Regular,17,Update,Deployment,false
5.0619515,Regular,8,Delete,ConfigMap,false
5.082846522,Regular,10,Delete,Deployment,false
5.102471753,Regular,16,Create,Deployment,false
5.122677949,Regular,17,Create,ConfigMap,false
5.142772823,Regular,21,Update,Deployment,false
5.163881345,Regular,9,Delete,ConfigMap,false
5.182507776,Regular,9,Delete,Deployment,false
5.202546752,Regular,16,Create,Deployment,false
5.222747557,Regular,14,Create,ConfigMap,false
5.242433068,Regular,19,Update,Deployment,false
