start_time,role,duration_ms,operation,resource,is_error
0.002447906,Regular,34,Create,Deployment,false
0.002862379,Regular,31,Create,Deployment,false
0.034109862,Regular,12,Create,ConfigMap,false
0.046804974,Regular,16,Update,Deployment,false
0.063446564,Regular,5,Delete,ConfigMap,false
0.082296026,Regular,5,Delete,Deployment,false
0.102880387,Regular,10,Create,Deployment,false
0.12230158,Regular,7,Create,ConfigMap,false
0.142250169,Regular,14,Update,Deployment,false
0.162560132,Regular,6,Delete,ConfigMap,false
0.181806464,Regular,6,Delete,Deployment,false
0.202930655,Regular,13,Create,Deployment,false
0.222497023,Regular,10,Create,ConfigMap,false
0.242894611,Regular,12,Update,Deployment,false
0.262663621,Regular,5,Delete,ConfigMap,false
0.282618232,Regular,5,Delete,Deployment,false
0.301865176,Regular,11,Create,Deployment,false
0.322021778,Regular,9,Create,ConfigMap,false
0.342011906,Regular,17,Update,Deployment,false
0.362506157,Regular,6,Delete,ConfigMap,false
0.382818324,Regular,4,Delete,Deployment,false
0.401838969,Regular,11,Create,Deployment,false
0.422273848,Regular,10,Create,ConfigMap,false
0.441881583,Regular,11,Update,Deployment,false
0.46264875,Regular,7,Delete,ConfigMap,false
0.482178608,Regular,4,Delete,Deployment,false
0.502780873,Regular,10,Create,Deployment,false
0.522497464,Regular,10,Create,ConfigMap,false
0.541861178,Regular,12,Update,Deployment,false
0.562569063,Regular,7,Delete,ConfigMap,false
0.582743048,Regular,6,Delete,Deployment,false
0.602435374,Regular,8,Create,Deployment,false
0.62289571,Regular,8,Create,ConfigMap,false
0.642369593,Regular,15,Update,Deployment,false
0.662631114,Regular,6,Delete,ConfigMap,false
0.682159449,Regular,5,Delete,Deployment,false
0.701880519,Regular,10,Create,Deployment,false
0.722452837,Regular,10,Create,ConfigMap,false
0.742605663,Regular,13,Update,Deployment,false
0.762233927,Regular,5,Delete,ConfigMap,false
0.782471512,Regular,5,Delete,Deployment,false
0.802178496,Regular,11,Create,Deployment,false
0.822457239,Regular,10,Create,ConfigMap,false
0.842480419,Regular,14,Update,Deployment,false
0.862130906,Regular,5,Delete,ConfigMap,false
0.882580051,Regular,4,Delete,Deployment,false
0.902790015,Regular,11,Create,Deployment,false
0.922248247,Regular,9,Create,ConfigMap,false
0.942784528,Regular,14,Update,Deployment,false
0.962145547,Regular,4,Delete,ConfigMap,false
0.982378774,Regular,5,Delete,Deployment,false
0.002760397,Regular,32,Create,Deployment,false
0.034875569,Regular,14,Create,ConfigMap,false
0.049869726,Regular,17,Update,Deployment,false
0.067494373,Regular,6,Delete,ConfigMap,false
0.08232968,Regular,5,Delete,Deployment,false
0.102880467,Regular,10,Create,Deployment,false
0.121975223,Regular,9,Create,ConfigMap,false
0.142187371,Regular,14,Update,Deployment,false
0.162571934,Regular,5,Delete,ConfigMap,false
0.181954554,Regular,6,Delete,Deployment,false
0.202926077,Regular,10,Create,Deployment,false
0.222597763,Regular,10,Create,ConfigMap,false
0.242874032,Regular,12,Update,Deployment,false
0.262739294,Regular,5,Delete,ConfigMap,false
0.282478498,Regular,6,Delete,Deployment,false
0.301940538,Regular,11,Create,Deployment,false
0.322136415,Regular,9,Create,ConfigMap,false
0.342082981,Regular,14,Update,Deployment,false
0.362676299,Regular,6,Delete,ConfigMap,false
0.382786303,Regular,5,Delete,Deployment,false
0.402074424,Regular,10,Create,Deployment,false
0.422260803,Regular,10,Create,ConfigMap,false
0.441991872,Regular,13,Update,Deployment,false
0.462677153,Regular,6,Delete,ConfigMap,false
0.482180462,Regular,6,Delete,Deployment,false
0.502651849,Regular,11,Create,Deployment,false
0.522459242,Regular,10,Create,ConfigMap,false
0.541766229,Regular,13,Update,Deployment,false
0.562611313,Regular,7,Delete,ConfigMap,false
0.582724103,Regular,6,Delete,Deployment,false
0.602498964,Regular,10,Create,Deployment,false
0.62282157,Regular,9,Create,ConfigMap,false
0.642223056,Regular,15,Update,Deployment,false
0.662511187,Regular,5,Delete,ConfigMap,false
0.682030696,Regular,5,Delete,Deployment,false
0.702158494,Regular,9,Create,Deployment,false
0.722677361,Regular,9,Create,ConfigMap,false
0.742681626,Regular,11,Update,Deployment,false
0.76236801,Regular,5,Delete,ConfigMap,false
0.782518501,Regular,6,Delete,Deployment,false
0.802107061,Regular,11,Create,Deployment,false
0.822331021,Regular,10,Create,ConfigMap,false
0.842503062,Regular,12,Update,Deployment,false
0.862012111,Regular,6,Delete,ConfigMap,false
0.882606301,Regular,4,Delete,Deployment,false
0.902595828,Regular,11,Create,Deployment,false
0.922089167,Regular,10,Create,ConfigMap,false
0.942681804,Regular,14,Update,Deployment,false
0.962280252,Regular,5,Delete,ConfigMap,false
0.982299174,Regular,5,Delete,Deployment,false
0.002974672,Regular,31,Create,Deployment,false
0.034605899,Regular,15,Create,ConfigMap,false
0.049675208,Regular,15,Update,Deployment,false
0.06469846,Regular,5,Delete,ConfigMap,false
0.0823566,Regular,5,Delete,Deployment,false
0.102883012,Regular,9,Create,Deployment,false
0.122137369,Regular,9,Create,ConfigMap,false
0.142261621,Regular,13,Update,Deployment,false
0.162582915,Regular,6,Delete,ConfigMap,false
0.181884492,Regular,6,Delete,Deployment,false
0.202936867,Regular,13,Create,Deployment,false
0.222597763,Regular,9,Create,ConfigMap,false
0.24278828,Regular,13,Update,Deployment,false
0.262797113,Regular,5,Delete,ConfigMap,false
0.282412934,Regular,5,Delete,Deployment,false
0.301885163,Regular,11,Create,Deployment,false
0.322015065,Regular,9,Create,ConfigMap,false
0.341973724,Regular,17,Update,Deployment,false
0.362605505,Regular,6,Delete,ConfigMap,false
0.382898145,Regular,5,Delete,Deployment,false
0.401988773,Regular,11,Create,Deployment,false
0.42229065,Regular,10,Create,ConfigMap,false
0.442063287,Regular,12,Update,Deployment,false
0.462692923,Regular,7,Delete,ConfigMap,false
0.482246627,Regular,7,Delete,Deployment,false
0.50274238,Regular,11,Create,Deployment,false
0.522475052,Regular,9,Create,ConfigMap,false
0.541915321,Regular,12,Update,Deployment,false
0.562628986,Regular,7,Delete,ConfigMap,false
0.582455355,Regular,6,Delete,Deployment,false
0.602505646,Regular,8,Create,Deployment,false
0.622889138,Regular,9,Create,ConfigMap,false
0.642297998,Regular,13,Update,Deployment,false
0.662553968,Regular,6,Delete,ConfigMap,false
0.682159459,Regular,5,Delete,Deployment,false
0.70191278,Regular,9,Create,Deployment,false
0.722656151,Regular,10,Create,ConfigMap,false
0.742721261,Regular,11,Update,Deployment,false
0.76240475,Regular,5,Delete,ConfigMap,false
0.782413292,Regular,5,Delete,Deployment,false
0.802047067,Regular,11,Create,Deployment,false
0.822365576,Regular,10,Create,ConfigMap,false
0.842441015,Regular,12,Update,Deployment,false
0.862154831,Regular,5,Delete,ConfigMap,false
0.882528574,Regular,5,Delete,Deployment,false
0.902560751,Regular,10,Create,Deployment,false
0.922081142,Regular,10,Create,ConfigMap,false
0.942691783,Regular,14,Update,Deployment,false
0.962206973,Regular,5,Delete,ConfigMap,false
0.98238696,Regular,5,Delete,Deployment,false
0.002749065,Regular,31,Create,Deployment,false
0.034352651,Regular,17,Create,ConfigMap,false
0.051841993,Regular,13,Update,Deployment,false
0.06582073,Regular,7,Delete,ConfigMap,false
0.08235647,Regular,8,Delete,Deployment,false
0.102758928,Regular,11,Create,Deployment,false
0.122006131,Regular,9,Create,ConfigMap,false
0.142233738,Regular,14,Update,Deployment,false
0.162649601,Regular,6,Delete,ConfigMap,false
0.181842101,Regular,6,Delete,Deployment,false
0.203093734,Regular,10,Create,Deployment,false
0.222581042,Regular,8,Create,ConfigMap,false
0.242858192,Regular,13,Update,Deployment,false
0.262796843,Regular,7,Delete,ConfigMap,false
0.282478157,Regular,6,Delete,Deployment,false
0.301835319,Regular,7,Create,Deployment,false
0.322040744,Regular,8,Create,ConfigMap,false
0.342137063,Regular,17,Update,Deployment,false
0.362619792,Regular,6,Delete,ConfigMap,false
0.38275805,Regular,5,Delete,Deployment,false
0.401891168,Regular,11,Create,Deployment,false
0.422295038,Regular,11,Create,ConfigMap,false
0.441939793,Regular,13,Update,Deployment,false
0.462504167,Regular,7,Delete,ConfigMap,false
0.482077657,Regular,7,Delete,Deployment,false
0.502677598,Regular,10,Create,Deployment,false
0.522587634,Regular,9,Create,ConfigMap,false
0.541960206,Regular,12,Update,Deployment,false
0.562499411,Regular,6,Delete,ConfigMap,false
0.582578427,Regular,6,Delete,Deployment,false
0.602421888,Regular,10,Create,Deployment,false
0.622847399,Regular,10,Create,ConfigMap,false
0.642280294,Regular,11,Update,Deployment,false
0.662483144,Regular,6,Delete,ConfigMap,false
0.68212799,Regular,5,Delete,Deployment,false
0.702079214,Regular,11,Create,Deployment,false
0.722477704,Regular,10,Create,ConfigMap,false
0.742576227,Regular,11,Update,Deployment,false
0.762287709,Regular,5,Delete,ConfigMap,false
0.782497211,Regular,5,Delete,Deployment,false
0.802218311,Regular,11,Create,Deployment,false
0.822235881,Regular,11,Create,ConfigMap,false
0.842535323,Regular,13,Update,Deployment,false
0.862056515,Regular,6,Delete,ConfigMap,false
0.882485703,Regular,6,Delete,Deployment,false
0.902566833,Regular,10,Create,Deployment,false
0.922010588,Regular,9,Create,ConfigMap,false
0.942777324,Regular,14,Update,Deployment,false
0.962268199,Regular,5,Delete,ConfigMap,false
0.982290247,Regular,5,Delete,Deployment,false
