"Time","1m load average"
2026-01-06 10:47:00,0.490
2026-01-06 10:48:00,0.740
2026-01-06 10:49:00,0.650
2026-01-06 10:50:00,1.03
2026-01-06 10:51:00,0.890
2026-01-06 10:52:00,4.48
2026-01-06 10:53:00,2.31
2026-01-06 10:54:00,1.16
2026-01-06 10:55:00,1.06
2026-01-06 10:56:00,0.770
2026-01-06 10:57:00,23.0
2026-01-06 10:58:00,22.8
2026-01-06 10:59:00,22.3
2026-01-06 11:00:00,22.4
2026-01-06 11:01:00,20.9
2026-01-06 11:02:00,17.4
2026-01-06 11:03:00,11.3
2026-01-06 11:04:00,21.2
2026-01-06 11:05:00,26.1
2026-01-06 11:06:00,19.0
2026-01-06 11:07:00,24.4
2026-01-06 11:08:00,24.4
2026-01-06 11:09:00,15.2
2026-01-06 11:10:00,29.7
2026-01-06 11:11:00,22.9
2026-01-06 11:12:00,17.5
2026-01-06 11:13:00,7.47
2026-01-06 11:14:00,3.87
2026-01-06 11:15:00,2.63
2026-01-06 11:16:00,2
2026-01-06 11:17:00,1.88
2026-01-06 11:18:00,1.80
2026-01-06 11:19:00,2.17
2026-01-06 11:20:00,1.98
2026-01-06 11:21:00,1.98
2026-01-06 11:22:00,2.10
2026-01-06 11:23:00,1.45
2026-01-06 11:24:00,0.870
2026-01-06 11:25:00,0.720
2026-01-06 11:26:00,0.700
2026-01-06 11:27:00,0.690
2026-01-06 11:28:00,22.4
2026-01-06 11:29:00,28.1
2026-01-06 11:30:00,32.2
2026-01-06 11:31:00,26.9
2026-01-06 11:32:00,25.3
2026-01-06 11:33:00,16
2026-01-06 11:34:00,17.6
2026-01-06 11:35:00,25.1
2026-01-06 11:36:00,29.7
2026-01-06 11:37:00,32.7
2026-01-06 11:38:00,41.4
2026-01-06 11:39:00,28.4
2026-01-06 11:40:00,34.6
2026-01-06 11:41:00,55.4
2026-01-06 11:42:00,42.9
2026-01-06 11:43:00,21.6
2026-01-06 11:44:00,9.10
2026-01-06 11:45:00,5.21
2026-01-06 11:46:00,2.97
2026-01-06 11:47:00,2.31
2026-01-06 11:48:00,1.94
2026-01-06 11:49:00,1.92
2026-01-06 11:50:00,1.92
2026-01-06 11:51:00,1.75
2026-01-06 11:52:00,1.55
2026-01-06 11:53:00,1.74
2026-01-06 11:54:00,1.76
2026-01-06 11:55:00,1.63
2026-01-06 11:56:00,1.59
2026-01-06 11:57:00,1.78
2026-01-06 11:58:00,2.23
2026-01-06 11:59:00,2.12
2026-01-06 12:00:00,1.29
2026-01-06 12:01:00,0.640
2026-01-06 12:02:00,0.870
2026-01-06 12:03:00,0.830
2026-01-06 12:04:00,1.01
2026-01-06 12:05:00,25.5
2026-01-06 12:06:00,29.4
2026-01-06 12:07:00,33.7
2026-01-06 12:08:00,56.4
2026-01-06 12:09:00,33.6
2026-01-06 12:10:00,29.7
2026-01-06 12:11:00,24.3
2026-01-06 12:12:00,21.3
2026-01-06 12:13:00,38.7
2026-01-06 12:14:00,44.1
2026-01-06 12:15:00,47.2
2026-01-06 12:16:00,38.2
2026-01-06 12:17:00,26.3
2026-01-06 12:18:00,34.4
2026-01-06 12:19:00,33.0
2026-01-06 12:20:00,20.9
2026-01-06 12:21:00,8.85
2026-01-06 12:22:00,4.04
2026-01-06 12:23:00,2.51
2026-01-06 12:24:00,2.06
2026-01-06 12:25:00,2.48
2026-01-06 12:26:00,1.79
2026-01-06 12:27:00,9.23
2026-01-06 12:28:00,4.15
2026-01-06 12:29:00,2.79
2026-01-06 12:30:00,2.23
2026-01-06 12:31:00,1.79
2026-01-06 12:32:00,1.53
2026-01-06 12:33:00,1.97
2026-01-06 12:34:00,1.64
